"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"99400158442","Restaurant Panqa","#","C","Sepúlveda","76","78","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.378284","2.156138","429436.918","4581095.011","429528.842","4581295.936","935414598","#","","01/01","31/12","1111110","12:00:00","17:00:00"," ",
"99400158448","Restaurant La Llavor dels Origens *Gràcia","#","C","Ramón y Cajal","12","12","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402152","2.157968","429615.69","4583743.376","429707.614","4583944.326","932136031","#","","01/01","31/12","0000000","13:00:00","16:30:00"," ",
"99400158448","Restaurant La Llavor dels Origens *Gràcia","#","C","Ramón y Cajal","12","12","31","la Vila de Gràcia","06","Gràcia","08012","019","BARCELONA","41.402152","2.157968","429615.69","4583743.376","429707.614","4583944.326","932136031","#","","01/01","31/12","0000000","20:00:00","23:59:00"," ",
"99400158541","Restaurant Ostreria Gouthier","#","C","Mañé i Flaquer","8","8","23","Sarrià","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.397318","2.124461","426809.406","4583234.471","426901.305","4583435.415","932059969","#","","01/01","31/12","1000001","13:00:00","23:59:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","0000111","19:00:00","23:00:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","0000111","13:30:00","15:30:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","1111001","13:30:00","15:30:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","1111001","19:00:00","23:30:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","1111110","13:30:00","15:30:00"," ",
"99400158553","Restaurant Patagonia Beef & Wine","#","G.V.","Corts Catalanes","660","660","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.391143","2.170987","430692.216","4582510.649","430784.151","4582711.588","933043735","Reserves","","01/01","31/12","1111110","19:00:00","22:30:00"," ",
